Year,Reporting Period,Eligibility Group,Number of Enrollees
2024,2024-07,Non-MAGI-Child,"978,649"
2024,2024-07,Non-MAGI-Adult,"2,404,835"
2024,2024-07,CHIP,"1,239,792"
2024,2024-07,Non-CMSPI,"1,240,082"
2024,2024-08,MAGI-Child,"2,847,704"
2024,2024-08,MAGI-Adult,"6,075,406"
2024,2024-08,Non-MAGI-Child,"981,108"
2024,2024-08,Non-MAGI-Adult,"2,421,884"
2024,2024-08,CHIP,"1,241,267"
2024,2024-08,Non-CMSPI,"1,255,436"
2024,2024-09,MAGI-Child,"2,835,225"
2024,2024-09,MAGI-Adult,"6,050,421"
2024,2024-09,Non-MAGI-Child,"978,855"
2024,2024-09,Non-MAGI-Adult,"2,433,847"
2024,2024-09,CHIP,"1,241,447"
2024,2024-09,Non-CMSPI,"1,268,718"
2024,2024-10,MAGI-Child,"2,825,526"
2024,2024-10,MAGI-Adult,"6,034,821"
2024,2024-10,Non-MAGI-Child,"976,748"
2024,2024-10,Non-MAGI-Adult,"2,453,960"
2024,2024-10,CHIP,"1,239,944"
2024,2024-10,Non-CMSPI,"1,282,409"
2024,2024-11,MAGI-Child,"2,813,156"
2024,2024-11,MAGI-Adult,"6,011,345"
2024,2024-11,Non-MAGI-Child,"976,587"
2024,2024-11,Non-MAGI-Adult,"2,462,957"
2024,2024-11,CHIP,"1,238,508"
2024,2024-11,Non-CMSPI,"1,304,618"
2024,2024-12,MAGI-Child,"2,802,653"
2024,2024-12,MAGI-Adult,"6,006,569"
2024,2024-12,Non-MAGI-Child,"975,887"
2024,2024-12,Non-MAGI-Adult,"2,469,054"
2024,2024-12,CHIP,"1,232,909"
2024,2024-12,Non-CMSPI,"1,311,615"
