Year,Reporting Period,Eligibility Group,Number of Enrollees
2018,2018-04,Non-MAGI-Child,"1,317,174"
2018,2018-04,Non-MAGI-Adult,"2,270,310"
2018,2018-04,CHIP,"1,316,781"
2018,2018-04,Non-CMSPI,"1,009,694"
2018,2018-05,MAGI-Child,"2,461,525"
2018,2018-05,MAGI-Adult,"4,759,362"
2018,2018-05,Non-MAGI-Child,"1,312,359"
2018,2018-05,Non-MAGI-Adult,"2,264,227"
2018,2018-05,CHIP,"1,312,237"
2018,2018-05,Non-CMSPI,"1,002,169"
2018,2018-06,MAGI-Child,"2,451,083"
2018,2018-06,MAGI-Adult,"4,739,125"
2018,2018-06,Non-MAGI-Child,"1,305,337"
2018,2018-06,Non-MAGI-Adult,"2,259,995"
2018,2018-06,CHIP,"1,308,792"
2018,2018-06,Non-CMSPI,"998,586"
2018,2018-07,MAGI-Child,"2,451,621"
2018,2018-07,MAGI-Adult,"4,740,976"
2018,2018-07,Non-MAGI-Child,"1,300,266"
2018,2018-07,Non-MAGI-Adult,"2,255,771"
2018,2018-07,CHIP,"1,310,504"
2018,2018-07,Non-CMSPI,"980,234"
2018,2018-08,MAGI-Child,"2,448,347"
2018,2018-08,MAGI-Adult,"4,740,109"
2018,2018-08,Non-MAGI-Child,"1,306,380"
2018,2018-08,Non-MAGI-Adult,"2,251,835"
2018,2018-08,CHIP,"1,308,428"
2018,2018-08,Non-CMSPI,"994,705"
2018,2018-09,MAGI-Child,"2,436,252"
2018,2018-09,MAGI-Adult,"4,730,875"
2018,2018-09,Non-MAGI-Child,"1,295,685"
2018,2018-09,Non-MAGI-Adult,"2,243,729"
2018,2018-09,CHIP,"1,305,080"
2018,2018-09,Non-CMSPI,"986,633"
2018,2018-10,MAGI-Child,"2,426,821"
2018,2018-10,MAGI-Adult,"4,736,567"
2018,2018-10,Non-MAGI-Child,"1,281,141"
2018,2018-10,Non-MAGI-Adult,"2,235,428"
2018,2018-10,CHIP,"1,305,036"
2018,2018-10,Non-CMSPI,"984,051"
2018,2018-11,MAGI-Child,"2,417,544"
2018,2018-11,MAGI-Adult,"4,733,012"
2018,2018-11,Non-MAGI-Child,"1,271,353"
2018,2018-11,Non-MAGI-Adult,"2,227,859"
2018,2018-11,CHIP,"1,305,175"
2018,2018-11,Non-CMSPI,"976,808"
2018,2018-12,MAGI-Child,"2,415,802"
2018,2018-12,MAGI-Adult,"4,735,912"
2018,2018-12,Non-MAGI-Child,"1,253,341"
2018,2018-12,Non-MAGI-Adult,"2,220,248"
2018,2018-12,CHIP,"1,302,373"
2018,2018-12,Non-CMSPI,"976,067"
2019,2019-01,MAGI-Child,"2,418,390"
2019,2019-01,MAGI-Adult,"4,731,516"
2019,2019-01,Non-MAGI-Child,"1,242,888"
2019,2019-01,Non-MAGI-Adult,"2,210,383"
